Time (UTC);Open;High;Low;Close;Volume 
2019.03.01 01:34:00;3736,8;3737,3;3736,8;3737,3;0,06508
2019.03.01 01:35:00;3737,4;3738,4;3737,4;3738,4;0,12266
2019.03.01 01:36:00;3738,4;3738,5;3738,4;3738,4;0,09752
2019.03.01 01:37:00;3738,4;3738,4;3738,4;3738,4;0,01022
2019.03.01 01:38:00;3738,4;3740,7;3738,4;3740,7;0,26018
2019.03.01 01:39:00;3740,6;3740,7;3739,9;3740,4;0,225
2019.03.01 01:40:00;3740,5;3740,7;3740;3740,5;0,24
2019.03.01 01:41:00;3740,7;3742,2;3740,6;3741,9;0,195
2019.03.01 01:42:00;3741,8;3742,8;3741,3;3742,5;0,21
2019.03.01 01:43:00;3742,6;3744,4;3742,6;3744,3;0,4575
2019.03.01 01:44:00;3744,4;3744,7;3743,8;3744,1;0,16276
2019.03.01 01:45:00;3743,9;3743,9;3742,6;3743;0,08774
2019.03.01 01:46:00;3742,6;3743,3;3742,1;3743,3;0,25006
2019.03.01 01:47:00;3743,2;3743,3;3743;3743,3;0,135
2019.03.01 01:48:00;3743,2;3743,3;3743,1;3743,3;0,1525
2019.03.01 01:49:00;3743,6;3743,6;3743,3;3743,3;0,00022
2019.03.01 01:50:00;3743,3;3743,9;3743,3;3743,9;0,02514
2019.03.01 01:51:00;3743,7;3743,7;3743,4;3743,6;0,06002
2019.03.01 01:52:00;3743,6;3744,1;3743,6;3744,1;0,11772
2019.03.01 01:53:00;3744,1;3744,1;3744;3744;0,00032
2019.03.01 01:54:00;3744;3744,3;3744;3744;0,00028
2019.03.01 01:55:00;3744,4;3744,4;3744,4;3744,4;0,00024
2019.03.01 01:56:00;3744,4;3744,4;3743,9;3743,9;0,0002
2019.03.01 01:57:00;3743,9;3744,3;3743,9;3744,3;0,00016
2019.03.01 01:58:00;3744,3;3744,3;3743,9;3743,9;0,00028
2019.03.01 01:59:00;3743,9;3743,9;3743,9;3743,9;0,00026
2019.03.01 02:00:00;3743,9;3744,3;3743,9;3744,3;0,0004
2019.03.01 02:01:00;3744;3744,6;3744;3744,4;0,0953
2019.03.01 02:02:00;3744,4;3744,4;3744,1;3744,1;0,00044
2019.03.01 02:03:00;3743,9;3744,3;3743,9;3744,2;0,00048
2019.03.01 02:04:00;3744,2;3744,2;3743,9;3743,9;0,0003
2019.03.01 02:05:00;3743,9;3743,9;3743,9;3743,9;0,00024
2019.03.01 02:06:00;3743,9;3744,2;3743,8;3743,8;0,00026
